Date,Change,RSI,Notes,MA10,MA20,MA50,Net S/D,Demand (M),Supply (M),Power,VNINDEX,Ghi chú,Cung/Cầu (Net),VIX
2026-03-10,0.0,0.0,OVERSOLD (RSI),36,54,81,-107.3933,553.4603,660.8536,-3101475.2055,,,,
2026-03-09,-115.04999999999995,36.59143886416612,BREADTH CRASH 🔴,23,26,0,-107.3933,553.4603,660.8536,-3101475.2055,1652.79,,,
